11,A,AA,,,,,,,
12,B,CD,,,,,,,
13,C,CT,,,,,,,
14,D,DA,,,,,,,
15,E,HC,,,,,,,
16,F,MS,,,,,,,
17,G,MK,,,,,,,
18,H,LB,,,,,,,
19,K,LD,,,,,,,
20,L,RM,,,,,,,
21,R,VB,,,,,,,
22,M,VC,,,,,,,
23,N,VE,,,,,,,
24,P,VF,,,,,,,
25,S,VG,,,,,,,
26,T,VH,,,,,,,
27,U,VJ,,,,,,,
28,V,VK,,,,,,,
29,X,VL,,,,,,,
30,Y,VP,,,,,,,
31,Z,VT,,,,,,,
32,,VN,,,,,,,
33,,XS,,,,,,,
34,,XD,,,,,,,
35,,KT,,,,,,,
36,,SA,,,,,,,
37,,XA,,,,,,,
38,,MA,,,,,,,
39,,,,,,,,,
40,,,,,,,,,S
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
