2025-10-29 10:01:02,24A07816,
2025-10-29 10:01:04,24A07816,
2025-10-29 10:01:06,24A07816,
2025-10-29 10:01:08,24A07816,
2025-10-29 10:01:10,24A07816,
2025-10-29 10:01:12,24A07816,
2025-10-29 10:01:14,24A07816,
2025-10-29 10:01:16,24A07816,
2025-10-29 10:01:18,24A07816,
2025-10-29 10:01:19,24A07816,
2025-10-29 10:01:21,24A07816,
2025-10-29 10:01:23,24A07816,
2025-10-29 10:01:25,24A07816,
2025-10-29 10:01:27,24A07816,
2025-10-29 10:01:29,24A07816,
2025-10-29 10:01:30,24A07816,
2025-10-29 10:01:32,24A07816,
2025-10-29 10:01:34,24A07816,
2025-10-29 10:01:36,24A07816,
2025-10-29 10:01:38,24A07816,
2025-10-29 10:01:39,24A07816,
2025-10-29 10:01:41,24A07816,
2025-10-29 10:01:43,24A07816,
2025-10-29 10:01:44,24A07816,
2025-10-29 10:01:46,24A07816,
2025-10-29 10:01:47,24A07816,
2025-10-29 10:01:49,24A07816,
2025-10-29 10:01:50,24A07816,
2025-10-29 10:01:52,24A07816,
2025-10-29 10:01:54,24A07816,
2025-10-29 10:01:55,24A07816,
2025-10-29 10:01:56,24A07816,
2025-10-29 10:01:58,24A07816,
2025-10-29 10:01:59,24A07816,
2025-10-29 10:02:01,24A07816,
2025-10-29 10:02:02,24A07816,
2025-10-29 10:02:04,24A07816,
2025-10-29 10:02:05,24A07816,
2025-10-29 10:02:07,24A07816,
2025-10-29 10:02:08,24A07816,
2025-10-29 10:02:10,24A07816,
2025-10-29 10:02:11,24A07816,
2025-10-29 10:02:12,24A07816,
2025-10-29 10:02:14,24A07816,
2025-10-29 10:02:15,24A07816,
2025-10-29 10:02:17,24A07816,
2025-10-29 10:02:18,24A07816,
2025-10-29 10:02:20,24A07816,
2025-10-29 10:02:22,24A07816,
2025-10-29 10:02:26,24X112442,
2025-10-29 10:02:29,24X112442,
2025-10-29 10:02:30,24X112442,
2025-10-29 10:02:32,24X112442,
2025-10-29 10:02:34,24X112442,
2025-10-29 10:02:37,24X112442,
2025-10-29 10:02:39,24X112442,
2025-10-29 10:02:41,24X112442,
2025-10-29 10:28:01,24A07816,
2025-10-29 10:28:03,24A07816,
2025-10-29 10:28:05,24A07816,
2025-10-29 10:28:07,24A07816,
2025-10-29 10:28:09,24A07816,
2025-10-29 10:28:11,24A07816,
2025-10-29 10:28:13,24A07816,
2025-10-29 10:28:15,24A07816,
2025-10-29 10:28:17,24A07816,
2025-10-29 10:28:19,24A07816,
2025-10-29 10:28:21,24A07816,
2025-10-29 10:28:22,24A07816,
2025-10-29 10:28:24,24A07816,
2025-10-29 10:28:26,24A07816,
2025-10-29 10:28:28,24A07816,
2025-10-29 13:22:50,24A07816,
2025-10-29 13:22:52,24A07816,
2025-10-29 13:22:54,24A07816,
2025-10-29 13:22:56,24A07816,
2025-10-29 13:22:58,24A07816,
2025-10-29 13:23:00,24A07816,
